provision_id,instrument_id,provision_type,animal_scope,penalty_criminal_max_months,penalty_fine_max_local_currency,currency_code,penalty_administrative_only,penalty_administrative_detention_days,ancillary_orders,aggravating_factors,effective_date,source_id,verification_tier,notes
CN-WPL-P1,CN-WPL,general_cruelty,captive_bred_wildlife_only,,,CNY,TRUE,,confiscation;business_license_revocation,,2023-05-01,SRC-CN-02,verified,"Art. 26 prohibits abusing captive-bred wildlife specifically. Administrative fines 2-20x assessed animal value, confiscation, license revocation; criminal referral only if conduct meets Art.341 threshold separately."
CN-CL341-P1,CN-CL341,killing,protected_wildlife_species_only,120,,CNY,FALSE,,forfeiture,"Tiered by assessed value per 2022 SPC/SPP judicial interpretation (法释〔2022〕12号, effective 2022-04-09): RMB 20,000-200,000 -> up to 5yr; RMB 200,000-2,000,000 ('情节严重') -> 5-10yr; over RMB 2,000,000 ('情节特别严重') -> 10yr+. penalty_criminal_max_months records only the open-ended top tier as 120 (10 years); actual ceiling is unbounded above that. CORRECTED 2026-09-17 (independent audit caught this): source_id was wrongly SRC-CN-03 (a paper about companion-animal judgments, unrelated to this wildlife-specific offense) - reassigned to SRC-CN-19 (the SPC's own published Art.341 text plus the judicial interpretation itself, both directly fetched and quoted), which is what actually verifies the thresholds above.",,SRC-CN-19,verified,Applies ONLY to nationally key-protected precious/endangered wildlife species - does not cover ordinary wildlife or any companion/domestic animal.
CN-PSAPL-P1,CN-PSAPL,nuisance_dangerous_animal,companion_and_livestock_broad,,1000,CNY,TRUE,10,,'情节较重的' (more serious circumstances) raises detention to up to 10 days,2026-01-01,SRC-CN-01,verified,"CRITICAL: Art. 89's actual text does NOT contain the word 虐待 (cruelty/abuse). It addresses keeping animals that disturb others (warning then fine up to RMB 1,000) and selling/keeping dangerous dogs (warning then 5-10 days detention). Widely-circulated claims that the 2025 revision 'added an anti-cruelty provision' are FALSE per the fetched official text - do not code this as general_cruelty. Administrative detention (治安拘留) 5-10 days for dangerous-dog violations under '情节较重' - recorded as max=10 in penalty_administrative_detention_days; this is a liberty-depriving but ADMINISTRATIVE (not criminal) penalty, a distinct category the schema did not originally have a field for."
FR-CP521-P1,FR-CP521,general_cruelty,domestic_and_captive_only_with_named_exclusions,36,45000,EUR,FALSE,,confiscation;ownership_ban,"If death results, penalty rises to 5yr/€75,000. Aggravated if: victim animal held by a public-service agent; perpetrator is the animal's owner/keeper; committed before a minor.",2021-12-02,SRC-FR-01,verified,"Exemption within this chapter for bullfighting and cockfighting where uninterrupted local tradition is established. Scope = 'animal domestique, apprivoisé ou tenu en captivité' (domestic, tamed, or captive) - no cephalopod/decapod provision found."
FR-LOI2021-P1,FR-LOI2021,sexual_abuse,domestic_and_captive_only_with_named_exclusions,36,45000,EUR,FALSE,,,"Aggravated to 4yr/€60,000 for group acts, acts before minors, or by owner/keeper",2021-12-02,SRC-FR-02,verified,"Art. 521-1-1. Exemption for necessary medical/hygiene care and artificial insemination. Art.521-1-2 treats FILMING such abuse as complicity (same penalties); Art.521-1-3 criminalizes soliciting such acts (1yr/€15,000). [AUDIT NOTE: effective_date corrected from 2021-11-30 (the law's enactment_date, wrongly reused) to 2021-12-02 to match FR-CP521-P1, on the assumption all provisions of the same law share one effective date (standard French practice: day after JORF publication) - this specific article's effective_date value is inferred (not independently confirmed) even though this row's verification_tier stays verified - CLARIFIED 2026-09-18 (audit flagged the same kind of field/tier ambiguity already fixed for MO-L42016): verified here reflects the penalty and scope content, which was read directly from the primary law text (see source), not the effective_date specifically, which remains a same-law inference."
FR-LOI2021-P2,FR-LOI2021,filming_distribution,domestic_and_captive_only_with_named_exclusions,24,30000,EUR,FALSE,,,,2021-12-02,SRC-FR-02,verified,"Art. 39 of the 2021 law: criminalizes recording images of animal abuse AND separately penalizes broadcasting such recordings (same penalty tier for both). [AUDIT NOTE: effective_date corrected from 2021-11-30 (the law's enactment_date, wrongly reused) to 2021-12-02 to match FR-CP521-P1, on the assumption all provisions of the same law share one effective date (standard French practice: day after JORF publication) - this specific article's effective_date value is inferred (not independently confirmed) even though this row's verification_tier stays verified - CLARIFIED 2026-09-18 (audit flagged the same kind of field/tier ambiguity already fixed for MO-L42016): verified here reflects the penalty and scope content, which was read directly from the primary law text (see source), not the effective_date specifically, which remains a same-law inference."
DE-TSCHG-P1,DE-TSCHG,general_cruelty,all_vertebrates,36,,EUR,FALSE,,ownership_ban,"No aggravated/qualified tier currently exists. A 2024 bill (BT-Drs.20/12719) to add qualifiers (profit motive, large numbers of animals, repeat offending) died with the 20th legislative period's dissolution; the 21st period's coalition agreement excludes S17 reform.",2022-12-20,SRC-DE-01,verified,"Section 17: requires INTENT - negligence and attempt are explicitly not punishable (a documented gap in the academic literature). Covers killing without reasonable cause and inflicting significant pain/suffering out of callousness or prolonged/recurring suffering. Section 3 separately lists specific prohibited conduct under the same Act - animal fighting (hunting exception), abandonment, harmful training/doping, and a bestiality provision (S3 no.13) - but whether S3 violations are enforced via this S17 criminal track or the S18 administrative track (below) was not resolved in this round's research. Ownership-ban orders (S20) are 'almost never ordered in practice' per the cited Hahn/Hoven 2022 empirical study."
DE-TSCHG-P2,DE-TSCHG,neglect_duty_of_care,all_vertebrates,,25000,EUR,TRUE,,,,,SRC-DE-01,verified,"CORRECTED 2026-09-18 (audit caught this): moved a MITIGATING fact out of aggravating_factors, where it had been wrongly placed (that field is for escalating circumstances, not a lesser tier). Lesser violations under this same section are capped at EUR5,000, below the EUR25,000 serious-violation cap recorded here. Section 18 (Ordnungswidrigkeit/administrative offence): covers negligent significant harm to animals in one's care, unauthorized killing, unauthorized experimentation, and permit violations - broader than a simple 'neglect' provision_type suggests; recorded here as the closest available controlled value. Effective date of the current S18 text specifically was not isolated from the Act's general 2022-12-20 amendment date."
CH-TSCHG-P1,CH-TSCHG,general_cruelty,vertebrates_plus_designated_invertebrates_by_regulation,36,,CHF,FALSE,,ownership_ban,,2008-09-01,SRC-CH-01,verified,"AUDIT CORRECTION 2026-09-15: the previous aggravating_factors value here ('Negligent commission = fine up to 180 daily rates (Tagessatze) instead of the 36-month criminal max.') was field misuse - it describes a MITIGATING circumstance (negligent commission gets a LOWER fine-only penalty), the opposite of what aggravating_factors is defined to hold. Moved here instead: negligent commission of Art.26 offences is punished by a fine up to 180 daily rates (Tagessatze), not the 36-month criminal maximum recorded in this row's base penalty fields (which applies to intentional commission only). Art. 26 covers five sub-offences: (a) mistreatment/neglect/overexertion/disregard of the animal's dignity, (b) torturous or wanton killing, (c) organizing animal fights (explicitly covered), (d) unjustified experimental suffering, (e) abandonment with intent to rid oneself of the animal. Art. 24 imposes a quasi-mandatory duty on ENFORCEMENT AUTHORITIES THEMSELVES to file a criminal complaint on discovering violations. No sexual-abuse/zoophilia provision distinct from the general dignity clause was found in the TSchG text itself (may exist at ordinance/TSchV level, not reviewed this round)."
CH-TSCHG-P2,CH-TSCHG,neglect_duty_of_care,vertebrates_plus_designated_invertebrates_by_regulation,,20000,CHF,TRUE,,,,2008-09-01,SRC-CH-01,verified,"Art. 28: husbandry-rule violations, unauthorized breeding/genetic modification, unauthorized transport/experiments/slaughter, unauthorized commercial dealing, using live animals as advertising. Attempt/complicity/instigation all separately punishable; negligent commission = fine. Time-barred after 5 years (Art. 29)."
